"#STN_ID,","STN_KO,","STN_SP,","LON,","LAT,","HT,","FCT_ID,","WRN_ID,","WRN_KO,",SFC_STN_ID=
지점번호,지점명,특성코드,경도,위도,해발고도,예보구역코드,특보구역코드,특보구역명,특보발표 대표지점번호
"481,","탄현,","A1110000,","126.71608889,","37.80241389,","37.00,","11B20305,","L1011800,","파주시,","99,="
"482,","광탄,","A1100000,","126.85124167,","37.77626667,","53.00,","11B20305,","L1011800,","파주시,","99,="
"483,","진동,","A1100000,","126.78706389,","37.92596944,","35.00,","11B20305,","L1011800,","파주시,","99,="
"484,","창현,","A1110000,","127.31647778,","37.64657222,","128.00,","11B20502,","L1012300,","남양주시,","541,="
"485,","신천 *,","A1110000,","127.49469167,","37.67618889,","83.00,","11B20404,","L1011400,","가평군,","455,="
"486,","외서,","A1110000,","127.41439444,","37.73474722,","61.00,","11B20404,","L1011400,","가평군,","455,="
"487,","대곶,","A1110000,","126.58386722,","37.64634500,","42.00,","11B20102,","L1010700,","김포시,","427,="
"488,","송산,","A1110000,","126.74116667,","37.21497222,","43.00,","11B20604,","L1013200,","화성시,","571,="
"489,","서신,","A1100000,","126.71091667,","37.16375000,","25.00,","11B20604,","L1013200,","화성시,","571,="
"490,","초성리,","A1100000,","127.11000000,","38.02444440,","72.00,","11B20402,","L1011200,","연천군,","652,="
"491,","군남,","A1100000,","127.02083330,","38.08222220,","39.00,","11B20402,","L1011200,","연천군,","652,="
"492,","학온동,","A1100000,","126.85750000,","37.42170000,","36.40,","11B10103,","L1010200,","광명시,","437,="
"493,","송악,","01111000,","127.00398000,","36.72266000,","53.64,","11C20302,","L1030400,","아산시,","634,="
